Max Schmid of Grain,Max Misorientation,Shared Surface Area,Grain Size of Grain,m-prime,Sphericity of Grain,Delta Max Schmid,Delta Grain Size,Number of Neighbors,Number of High Neighbor Schmids,Number of High Grain Schmids,Delta Number of Schmids,Average Schmid Factor of Grain,Schmid Dominance Factor in Grain,Schmid Variance in Grain,FIP
0.4985334593299652,0.9428870614810421,180.0,17496,0.010374214699058935,0.53070372,-0.044332422005597005,-12096,2,1.75,2,0.25,0.2608138446959238,0.027370336585815225,0.01757799181288521,0.0064844632209162
0.45107597222686957,0.9611860013328928,252.0,32184,-0.06127011731416013,0.44660202,-0.014562985828242836,94392,3,1.8571428571428572,4,2.142857142857143,0.2822205113848485,0.0021562783164472132,0.030871577696895778,0.0075301321907537
0.45836370084977895,0.972599743482514,36.0,5400,-0.24873541522629658,0.36006817,-0.02155209363596111,-648,2,1.8571428571428572,4,2.142857142857143,0.27290728750540305,0.013667561966407005,0.02681372155235769,0.0073361846216469
0.48220287452516297,1.0399112270614022,1044.0,8856,-0.19954952713604576,0.0097464276,-0.013943015232876999,3888,2,2.125,2,-0.125,0.1967031249826138,0.0680516226890926,0.023138414654155122,0.0048732234824862
0.48184840156530767,0.9942851262735157,36.0,44712,-0.6739915897970826,0.60232586,-0.06623941117739213,12096,2,2.1538461538461537,2,-0.15384615384615385,0.19833947080877243,0.05505859416608594,0.023207256271684396,0.0086249310859215
0.4992539159992859,1.0526119735444466,612.0,54864,0.4807684645500773,0.00057732681,-0.08364492561137038,1944,4,1.9444444444444444,2,0.05555555555555555,0.24434945507220648,0.030172010514096848,0.017141159202491613,0.008187244444306
0.49121406408891766,0.9961986701344581,1116.0,29592,0.12080103677187466,0.021521645,-0.06019923722135084,59832,3,1.4,2,0.6,0.21716688241482562,0.045706158730754676,0.019970808476907263,0.0092749149439058
0.468259859292286,1.0483654117532093,324.0,12744,0.16005706684469934,0.013266128,-0.03975445270970768,6480,2,2.5,1,-1.5,0.1750857564466096,0.08325340153730043,0.026757675732401107,0.0055174043715101
0.42624072615119213,0.9618710634904033,36.0,55296,0.04460049183305063,0.57278258,0.0730131898480938,-432,1,2.05,2,-0.05,0.2027046101194733,0.0034192997737646502,0.0232895049201578,0.0066873554001034
0.3175699400859153,1.0050395730114188,108.0,6480,-0.0024850833709808605,0.41156638,0.1037618974855748,76680,2,3.2,0,-3.2,0.15326530331959334,0.0025674107183625283,0.016312899130775015,0.005478733282318
0.4643318998522256,1.020109343320601,144.0,6048,0.0041647907333455456,0.41816315,0.023737696859836066,33696,5,2.3333333333333335,2,-0.3333333333333333,0.1896915870427672,0.01693508962337159,0.02586828277577119,0.0052139463599287
0.4613946477293639,0.9885886209730591,576.0,58104,-0.13984309834714134,0.08006914,0.03357786984522404,-5400,0,1.8666666666666667,2,0.13333333333333333,0.17565349144618678,0.03982315976492795,0.028875500140615774,0.0100841714899285
0.4353451738953869,0.9925303538473629,108.0,32184,0.14730186678260873,0.027046679,0.06185760629382536,8640,3,2.1666666666666665,2,-0.16666666666666666,0.1712975915883155,0.025200854027860764,0.021002075122939504,0.00662428471276
0.4713673416434303,0.9499976007764662,108.0,7128,0.0968015013478366,0.36348462,-0.0012454903917731297,10368,4,2.2,1,-1.2,0.22052324198611975,0.09209019115288009,0.019965505629092134,0.006322741207536
0.45021144147320946,0.9189804092257712,1008.0,15768,0.4450963781530884,0.47839448,-0.03710027577663949,-1944,4,2.5714285714285716,4,1.4285714285714286,0.2790255877083396,0.009651457357564341,0.030410257315352823,0.0073486456874427
0.41311116569656997,0.9346578131226915,324.0,13824,-0.11605464297210945,0.0040618223,0.08645600891825589,-5832,4,2.5555555555555554,1,-1.5555555555555556,0.18153517288050905,0.029322030299500867,0.021353676985941858,0.0065102089815468
0.46357205731801354,0.657675946393046,216.0,7128,0.6081629940072873,0.36115885,-0.011785255474640044,4752,0,1.8,2,0.2,0.17814319510880358,0.04030345367565363,0.028238847744701364,0.007974592927071
0.4310148268675668,1.0317140316165891,2088.0,89424,-0.2182986170969546,0.6583426,0.06611988449627126,2376,2,1.95,1,-0.95,0.1839610940664619,0.06838712639100214,0.02106905806187106,0.0089647730976475
0.4705196903655639,0.9626830913567483,1152.0,24624,-0.24668055844373754,0.45728847,-0.12340149553202923,18144,2,1.75,3,1.25,0.28160947931611774,0.008419616488673842,0.025825428810236646,0.0077780511759992
0.3779832917733779,0.9226848505134833,468.0,16848,0.39073755628451906,0.49701679,0.12055016755658726,648,4,2.3636363636363638,0,-2.3636363636363638,0.16367413811188786,0.010273087691170746,0.015624018590916623,0.0050845197602963
0.44473722607065175,1.055376527005987,540.0,9072,-0.17917727761827146,0.34713143,-0.006220890298280379,9288,1,2.375,2,-0.375,0.16004413350592236,0.030701261906546373,0.033208844594189706,0.0069967989565029
0.42799030832653817,1.0077598499343037,684.0,14472,0.1092959318068582,0.35050821,0.06698220924804976,38232,3,2.0,2,0.0,0.15309307517160947,0.006597428183422738,0.035455618056631125,0.0073548518727743
0.4895645939744086,1.0360027763536195,1728.0,28728,-0.25378958797573004,0.01882688,-0.14244639914087392,14040,1,1.6666666666666667,2,0.3333333333333333,0.2550998044262654,0.048181529455743166,0.01888585214669467,0.007604053548428
